"","name","info","point","value"
"1","
                动物凶猛

                
              ","王朔 / 中国电影出版社 / 2004年02月 / 15.50元",8.3,"(
                    23652人评价
                )"
"2","
                子不语1

                
              ","夏达 / 新世纪出版社 / 2009-12 / RMB36.00",9,"(
                    21148人评价
                )"
"3","
                新参者

                
              ","[日] 东野圭吾 / 岳远坤 / 南海出版公司 / 2011-9 / 28.00元",8.4,"(
                    23045人评价
                )"
"4","
                小姨多鹤

                
              ","严歌苓 / 作家出版社 / 2008-4 / 28.00元",8.6,"(
                    22365人评价
                )"
"5","
                高效能人士的七个习惯（精华版）

                
              ","[美] 史蒂芬・柯维 / 高新勇 / 中国青年出版社 / 2011-6 / 29.00元",8.2,"(
                    23061人评价
                )"
"6","
                爱的艺术

                
              ","[美] 艾・弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元",8.8,"(
                    21515人评价
                )"
"7","
                罗杰疑案

                
              ","[英] 阿加莎・克里斯蒂 / 张江云 / 人民文学出版社 / 2006-5 / 21.00元",8.9,"(
                    21005人评价
                )"
"8","
                夹边沟记事

                
              ","杨显惠 / 花城出版社 / 2008-09 / 34.00元",9.2,"(
                    20187人评价
                )"
"9","
                白银时代

                
                   : 时代三部曲 
              ","王小波 / 花城出版社 / 1997-5 / 10.00元",8.4,"(
                    22387人评价
                )"
"10","
                动物庄园

                
              ","（英）乔治・奥威尔 / 张毅 / 上海人民出版社 / 2000-08 / 18.00",9.1,"(
                    20310人评价
                )"
"11","
                琅琊榜

                
              ","海宴 / 朝华出版社 / 2007-12 / 49.80元",8.5,"(
                    21437人评价
                )"
"12","
                观念的水位

                
              ","刘瑜 / 浙江大学出版社 / 2013-1 / 36.00元",8.3,"(
                    22550人评价
                )"
"13","
                枪炮、病菌与钢铁

                
                   : 人类社会的命运 
              ","[美] 贾雷德・戴蒙德 / 谢延光 / 上海世纪出版集团 / 2006-4-1 / 45.00元",8.8,"(
                    20972人评价
                )"
"14","
                红拂夜奔

                
              ","王小波 / 江苏文艺出版社 / 2005-1 / 28.00元",8.6,"(
                    21190人评价
                )"
"15","
                巨流河

                
              ","齐邦媛 / 生活・读书・新知三联书店 / 2010-10 / 39.00元",8.7,"(
                    21140人评价
                )"
"16","
                一个叫欧维的男人决定去死

                
              ","[瑞典] 弗雷德里克・巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元",9,"(
                    19997人评价
                )"
"17","
                告白

                
              ","佳苗 / 丁世佳 / r笪幕 / 2009-8 / NT$250",8.6,"(
                    21006人评价
                )"
"18","
                中国大历史

                
              ","黄仁宇 / 生活・读书・新知三联书店 / 2007-2 / 19.00元",8.3,"(
                    21944人评价
                )"
"19","
                寻羊冒险记

                
              ","[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 18.80元",8.1,"(
                    22044人评价
                )"
"20","
                云中歌1

                
              ","桐华 / 作家出版社 / 2007-9 / 24.80元",8,"(
                    22236人评价
                )"
"21","
                来不及说我爱你

                
              ","匪我思存 / 新世界出版社 / 2006-9 / 20.00元",8.1,"(
                    21782人评价
                )"
"22","
                相约星期二

                
              ","[美] 米奇・阿尔博姆 / 吴洪 / 上海译文出版社 / 2007-7 / 19.00元",8.4,"(
                    20695人评价
                )"
"23","
                带一本书去巴黎

                
              ","林达 / 生活・读书・新知三联书店 / 2002-5 / 35.00元",8.5,"(
                    20165人评价
                )"
"24","
                可爱的洪水猛兽

                
              ","韩寒 / 万卷出版公司 / 2009-08-01 / 25.00元",8.1,"(
                    21096人评价
                )"
"25","
                退步集

                
              ","陈丹青 / 广西师范大学出版社 / 2005-1 / 38.00元",8.1,"(
                    20799人评价
                )"
